Fluid,T,P,D,H,S,U,Q,C,Z,A,viscosity,conductivity,molar_mass,speed_of_sound,acentric
,[K],[Pa],[kg/m^3],[J/kg],[J/kg/K],[J/kg],[-],[m/s],[-],[m/s²],[Pa·s],[W/m/K],[kg/mol],[m/s],[-]
1-Butene,300.0,101325.0,2.343023,442569.87697,1647.597279,399324.462403,-1.0,1566.384028,0.972738,217.125228,,,0.056106,217.125228,0.191861
Acetone,300.0,101325.0,782.629142,-63912.30391,-203.23356,-64041.771361,-1.0,2147.529088,0.003015,1155.688047,,,0.058079,1155.688047,0.3071
Air,300.0,101325.0,1.176996,426297.774392,3886.714146,340209.941098,-1.0,1006.373908,0.999688,347.319944,1.9e-05,0.026384,0.028965,347.319944,0.0335
Ammonia,300.0,101325.0,0.698994,1696298.935613,7098.348283,1551340.658116,-1.0,2163.384672,0.989727,434.432006,1e-05,0.025102,0.017031,434.432006,0.256
Argon,300.0,101325.0,1.623757,155898.203829,3876.170438,93496.626318,-1.0,521.538064,0.999385,322.672422,2.3e-05,0.017837,0.039948,322.672422,-0.00219
Benzene,300.0,101325.0,871.544679,-96824.495187,-296.746369,-96940.754287,-1.0,1740.164305,0.003641,1292.532891,0.000587,0.140523,0.078112,1292.532891,0.210837
CarbonDioxide,300.0,101325.0,1.796636,507417.183042,2742.077597,451020.119582,-1.0,852.623286,0.995057,269.382902,1.5e-05,0.016774,0.04401,269.382902,0.22394
CarbonMonoxide,300.0,101325.0,1.138212,444327.273632,4005.884496,355306.110793,-1.0,1042.175184,0.999659,353.123342,,,0.02801,353.123342,0.0497
CarbonylSulfide,300.0,101325.0,2.467369,360908.452242,1585.247164,319842.443643,-1.0,702.39451,0.989056,226.187921,,,0.060075,226.187921,0.0978
cis-2-Butene,300.0,101325.0,2.349783,448117.11562,1613.611138,404996.109657,-1.0,1497.038808,0.96994,217.373211,,,0.056106,217.373211,0.20236
CycloHexane,300.0,101325.0,772.217514,-107536.05577,-329.08115,-107667.2688,-1.0,1867.6035,0.004427,1246.701181,0.000864,,0.084159,1246.701181,0.20926
Cyclopentane,300.0,101325.0,738.628267,-42027.820072,-135.059752,-42165.000037,-1.0,1819.755986,0.003857,1194.648626,0.000305,0.12594,0.070133,1194.648626,0.201113
CycloPropane,300.0,101325.0,1.737156,687973.578965,3011.398437,629645.467848,-1.0,1364.958305,0.98405,260.783068,,,0.042081,260.783068,0.13055
D4,300.0,101325.0,948.755419,-271548.187518,-730.629933,-271654.985327,-1.0,1674.040202,0.0127,910.142536,,,0.296616,910.142536,0.598125
